N;radius;distance;ratio;density;contacts;loose;boundary;symmetry group;reference
18;0.205604646759568224693193969093;0.517638090205041524697797675249;4.8637033051562731469989727989;0.760918873844282912617123749834;42;;12;D6;[1]
19;0.205604646759568224693193969093;0.517638090205041524697797675249;4.8637033051562731469989727989;0.803192144613409741095852847046;48;;12;D6;[9]
20;0.195224011018748878291305694833;0.485163607492511844822024507427;5.1223207369915283214476857922;0.762248289564971668878211375641;38;1;13;D1;[3]
21;0.190392146849053511968808973057;0.470331768912710997642393806653;5.2523174750102422915460321681;0.761232561217622700067014658582;38;2;14;D1;[4]
22;0.183833026581681677264411480513;0.450478964645534302465138554635;5.4397189590722134554857208822;0.743480796567988207055753861794;44;;13;;[4]
23;0.180336009254436500349252193252;0.440024232589267455702324446521;5.5452042225748582685233836876;0.747984753377772763266889798945;46;;13;;[4]
24;0.176939130595961682695732682453;0.429953937001232286949050075276;5.6516610917654367675791591314;0.751378942465314807700999639995;44;2;16;;[4]
25;0.173827661421222233359259594413;0.420802424153413593799114721521;5.7528243308571153542293693448;0.755401396879276808737517646335;48;1;13;;[8]
26;0.171580252187166848283936226172;0.414235060523768160213886774470;5.8281765369429493922062904714;0.765434356455906124630201508913;48;2;15;;[8]
27;0.169307931134573046568970317658;0.407631028344393935098817008051;5.9063978473941545445249130172;0.773959739716871887968754148584;54;;15;C3;[8]
